Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet_div_2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf_div_2tf,b_div_t,b_div_tdes,h_div_tw,h_div_tdes,D_div_t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan_,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
W,W44X335,W44X335,F,335,98.5,44,44,NaN,NaN,NaN,15.9,16,NaN,NaN,NaN,1.03,1,  1/2 ,1.77,1  3/4 ,NaN,NaN,NaN,2.56,3,1  3/4 ,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,38,NaN,NaN,31100,1620,1410,17.8,1200,236,150,3.49,NaN,NaN,NaN,74.7,535000,NaN,168,1180,NaN,NaN,278,805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.24,42.2,132,NaN,148,104,120,38,5  1/2 ,NaN
W,W44X290,W44X290,F,290,85.4,43.6,43  5/8 ,NaN,NaN,NaN,15.8,15  7/8 ,NaN,NaN,NaN,0.865,  7/8 ,  7/16,1.58,1  9/16,NaN,NaN,NaN,2.36,2 13/16,1  5/8 ,NaN,NaN,NaN,NaN,NaN,5.02,NaN,NaN,45,NaN,NaN,27000,1410,1240,17.8,1040,205,132,3.49,NaN,NaN,NaN,50.9,461000,NaN,166,1040,NaN,NaN,248,701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2,42,131,NaN,147,103,119,38,5  1/2 ,NaN
W,W44X262,W44X262,F,262,77.2,43.3,43  1/4 ,NaN,NaN,NaN,15.8,15  3/4 ,NaN,NaN,NaN,0.785, 13/16,  7/16,1.42,1  7/16,NaN,NaN,NaN,2.2,2  5/8 ,1  5/8 ,NaN,NaN,NaN,NaN,NaN,5.57,NaN,NaN,49.6,NaN,NaN,24100,1270,1110,17.7,923,182,117,3.47,NaN,NaN,NaN,37.3,405000,NaN,165,928,NaN,NaN,223,630,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.17,41.9,131,NaN,147,102,118,38,5  1/2 ,NaN
W,W44X230,W44X230,F,230,67.8,42.9,42  7/8 ,NaN,NaN,NaN,15.8,15  3/4 ,NaN,NaN,NaN,0.71, 11/16,  3/8 ,1.22,1  1/4 ,NaN,NaN,NaN,2.01,2  7/16,1  9/16,NaN,NaN,NaN,NaN,NaN,6.45,NaN,NaN,54.8,NaN,NaN,20800,1100,971,17.5,796,157,101,3.43,NaN,NaN,NaN,24.9,346000,NaN,165,793,NaN,NaN,192,547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.13,41.7,130,NaN,146,102,118,38,5  1/2 ,NaN
W,W40X655,W40X655,T,655,193,43.6,43  5/8 ,NaN,NaN,NaN,16.9,16  7/8 ,NaN,NaN,NaN,1.97,2,1,3.54,3  9/16,NaN,NaN,NaN,4.72,4 13/16,2  3/16,NaN,NaN,NaN,NaN,NaN,2.39,NaN,NaN,17.3,NaN,NaN,56500,3080,2590,17.1,2870,542,340,3.86,NaN,NaN,NaN,589,1150000,NaN,169,2530,NaN,NaN,529,1530,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.71,40.1,132,NaN,149,104,121,34,7  1/2 ,NaN
W,W40X593,W40X593,T,593,174,43,43,NaN,NaN,NaN,16.7,16  3/4 ,NaN,NaN,NaN,1.79,1 13/16, 15/16,3.23,3  1/4 ,NaN,NaN,NaN,4.41,4  1/2 ,2  1/8 ,NaN,NaN,NaN,NaN,NaN,2.58,NaN,NaN,19.1,NaN,NaN,50400,2760,2340,17,2520,481,302,3.8,NaN,NaN,NaN,445,997000,NaN,166,2240,NaN,NaN,479,1370,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,39.8,130,NaN,147,103,120,34,7  1/2 ,NaN
W,W40X503,W40X503,T,503,148,42.1,42,NaN,NaN,NaN,16.4,16  3/8 ,NaN,NaN,NaN,1.54,1  9/16, 13/16,2.76,2  3/4 ,NaN,NaN,NaN,3.94,4,2,NaN,NaN,NaN,NaN,NaN,2.98,NaN,NaN,22.3,NaN,NaN,41600,2320,1980,16.8,2040,394,249,3.72,NaN,NaN,NaN,277,789000,NaN,161,1830,NaN,NaN,403,1150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5,39.3,129,NaN,145,101,117,34,7  1/2 ,NaN
W,W40X431,W40X431,T,431,127,41.3,41  1/4 ,NaN,NaN,NaN,16.2,16  1/4 ,NaN,NaN,NaN,1.34,1  5/16, 11/16,2.36,2  3/8 ,NaN,NaN,NaN,3.54,3  5/8 ,1  7/8 ,NaN,NaN,NaN,NaN,NaN,3.44,NaN,NaN,25.5,NaN,NaN,34800,1960,1690,16.6,1690,328,208,3.65,NaN,NaN,NaN,177,638000,NaN,158,1510,NaN,NaN,341,969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.41,38.9,127,NaN,143,98.8,115,34,7  1/2 ,NaN
W,W40X397,W40X397,T,397,117,41,41,NaN,NaN,NaN,16.1,16  1/8 ,NaN,NaN,NaN,1.22,1  1/4 ,  5/8 ,2.2,2  3/16,NaN,NaN,NaN,3.38,3  1/2 ,1 13/16,NaN,NaN,NaN,NaN,NaN,3.66,NaN,NaN,28,NaN,NaN,32000,1800,1560,16.6,1540,300,191,3.64,NaN,NaN,NaN,142,579000,NaN,156,1380,NaN,NaN,318,891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.38,38.8,126,NaN,142,98.1,114,34,7  1/2 ,NaN
W,W40X372,W40X372,T,372,110,40.6,40  5/8 ,NaN,NaN,NaN,16.1,16  1/8 ,NaN,NaN,NaN,1.16,1  3/16,  5/8 ,2.05,2  1/16,NaN,NaN,NaN,3.23,3  5/16,1 13/16,NaN,NaN,NaN,NaN,NaN,3.93,NaN,NaN,29.5,NaN,NaN,29600,1680,1460,16.5,1420,277,177,3.6,NaN,NaN,NaN,116,528000,NaN,155,1280,NaN,NaN,295,829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.33,38.6,125,NaN,141,97.3,113,34,7  1/2 ,NaN
W,W40X362,W40X362,T,362,106,40.6,40  1/2 ,NaN,NaN,NaN,16,16,NaN,NaN,NaN,1.12,1  1/8 ,  9/16,2.01,2,NaN,NaN,NaN,3.19,3  1/4 ,1  3/4 ,NaN,NaN,NaN,NaN,NaN,3.99,NaN,NaN,30.5,NaN,NaN,28900,1640,1420,16.5,1380,270,173,3.6,NaN,NaN,NaN,109,513000,NaN,154,1240,NaN,NaN,289,808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.33,38.6,125,NaN,141,97.2,113,34,7  1/2 ,NaN
W,W40X324,W40X324,F,324,95.3,40.2,40  1/8 ,NaN,NaN,NaN,15.9,15  7/8 ,NaN,NaN,NaN,1,1,  1/2 ,1.81,1 13/16,NaN,NaN,NaN,2.99,3  1/16,1 11/16,NaN,NaN,NaN,NaN,NaN,4.4,NaN,NaN,34.2,NaN,NaN,25600,1460,1280,16.4,1220,239,153,3.58,NaN,NaN,NaN,79.4,448000,NaN,153,1100,NaN,NaN,259,720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.27,38.4,124,NaN,140,96.3,112,34,7  1/2 ,NaN
W,W40X297,W40X297,F,297,87.3,39.8,39  7/8 ,NaN,NaN,NaN,15.8,15  7/8 ,NaN,NaN,NaN,0.93, 15/16,  1/2 ,1.65,1  5/8 ,NaN,NaN,NaN,2.83,2 15/16,1 11/16,NaN,NaN,NaN,NaN,NaN,4.8,NaN,NaN,36.8,NaN,NaN,23200,1330,1170,16.3,1090,215,138,3.54,NaN,NaN,NaN,61.2,399000,NaN,151,982,NaN,NaN,234,652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.22,38.2,123,NaN,139,95.4,111,34,7  1/2 ,NaN
W,W40X277,W40X277,F,277,81.5,39.7,39  3/4 ,NaN,NaN,NaN,15.8,15  7/8 ,NaN,NaN,NaN,0.83, 13/16,  7/16,1.58,1  9/16,NaN,NaN,NaN,2.76,2  7/8 ,1  5/8 ,NaN,NaN,NaN,NaN,NaN,5.03,NaN,NaN,41.2,NaN,NaN,21900,1250,1100,16.4,1040,204,132,3.58,NaN,NaN,NaN,51.5,379000,NaN,151,940,NaN,NaN,225,614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.25,38.1,123,NaN,139,95.2,111,34,7  1/2 ,NaN
W,W40X249,W40X249,F,249,73.5,39.4,39  3/8 ,NaN,NaN,NaN,15.8,15  3/4 ,NaN,NaN,NaN,0.75,  3/4 ,  3/8 ,1.42,1  7/16,NaN,NaN,NaN,2.6,2 11/16,1  9/16,NaN,NaN,NaN,NaN,NaN,5.55,NaN,NaN,45.6,NaN,NaN,19600,1120,993,16.3,926,182,118,3.55,NaN,NaN,NaN,38.1,334000,NaN,150,841,NaN,NaN,203,551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.21,38,122,NaN,138,94.6,110,34,7  1/2 ,NaN
W,W40X215,W40X215,F,215,63.5,39,39,NaN,NaN,NaN,15.8,15  3/4 ,NaN,NaN,NaN,0.65,  5/8 ,  5/16,1.22,1  1/4 ,NaN,NaN,NaN,2.4,2  1/2 ,1  9/16,NaN,NaN,NaN,NaN,NaN,6.45,NaN,NaN,52.6,NaN,NaN,16700,964,859,16.2,803,156,101,3.54,NaN,NaN,NaN,24.8,284000,NaN,149,719,NaN,NaN,175,473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.19,37.8,122,NaN,138,93.8,110,34,7  1/2 ,NaN
W,W40X199,W40X199,F,199,58.8,38.7,38  5/8 ,NaN,NaN,NaN,15.8,15  3/4 ,NaN,NaN,NaN,0.65,  5/8 ,  5/16,1.07,1  1/16,NaN,NaN,NaN,2.25,2  5/16,1  9/16,NaN,NaN,NaN,NaN,NaN,7.39,NaN,NaN,52.6,NaN,NaN,14900,869,770,16,695,137,88.2,3.45,NaN,NaN,NaN,18.3,246000,NaN,149,628,NaN,NaN,153,427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.12,37.6,121,NaN,137,93.2,109,34,7  1/2 ,NaN
W,W40X392,W40X392,T,392,116,41.6,41  5/8 ,NaN,NaN,NaN,12.4,12  3/8 ,NaN,NaN,NaN,1.42,1  7/16,  3/4 ,2.52,2  1/2 ,NaN,NaN,NaN,3.7,3 13/16,1 15/16,NaN,NaN,NaN,NaN,NaN,2.45,NaN,NaN,24.1,NaN,NaN,29900,1710,1440,16.1,803,212,130,2.64,NaN,NaN,NaN,172,306000,NaN,121,946,NaN,NaN,270,848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3,39.1,116,NaN,128,95.6,108,34,7  1/2 ,NaN
W,W40X331,W40X331,T,331,97.7,40.8,40  3/4 ,NaN,NaN,NaN,12.2,12  1/8 ,NaN,NaN,NaN,1.22,1  1/4 ,  5/8 ,2.13,2  1/8 ,NaN,NaN,NaN,3.31,3  3/8 ,1 13/16,NaN,NaN,NaN,NaN,NaN,2.86,NaN,NaN,28,NaN,NaN,24700,1430,1210,15.9,644,172,106,2.57,NaN,NaN,NaN,105,241000,NaN,118,766,NaN,NaN,226,706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.21,38.7,114,NaN,126,93.8,106,34,7  1/2 ,NaN
W,W40X327,W40X327,T,327,95.9,40.8,40  3/4 ,NaN,NaN,NaN,12.1,12  1/8 ,NaN,NaN,NaN,1.18,1  3/16,  5/8 ,2.13,2  1/8 ,NaN,NaN,NaN,3.31,3  3/8 ,1 13/16,NaN,NaN,NaN,NaN,NaN,2.85,NaN,NaN,29,NaN,NaN,24500,1410,1200,16,640,170,105,2.58,NaN,NaN,NaN,103,239000,NaN,117,754,NaN,NaN,225,695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.21,38.7,114,NaN,126,93.7,106,34,7  1/2 ,NaN
W,W40X294,W40X294,F,294,86.2,40.4,40  3/8 ,NaN,NaN,NaN,12,12,NaN,NaN,NaN,1.06,1  1/16,  9/16,1.93,1 15/16,NaN,NaN,NaN,3.11,3  3/16,1  3/4 ,NaN,NaN,NaN,NaN,NaN,3.11,NaN,NaN,32.2,NaN,NaN,21900,1270,1080,15.9,562,150,93.5,2.55,NaN,NaN,NaN,76.6,208000,NaN,115,668,NaN,NaN,203,622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.16,38.5,113,NaN,125,92.8,105,34,7  1/2 ,NaN
W,W40X278,W40X278,F,278,82.3,40.2,40  1/8 ,NaN,NaN,NaN,12,12,NaN,NaN,NaN,1.03,1,  1/2 ,1.81,1 13/16,NaN,NaN,NaN,2.99,3  1/16,1  3/4 ,NaN,NaN,NaN,NaN,NaN,3.31,NaN,NaN,33.3,NaN,NaN,20500,1190,1020,15.8,521,140,87.1,2.52,NaN,NaN,NaN,65,192000,NaN,115,622,NaN,NaN,190,587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.13,38.4,112,NaN,124,92.4,104,34,7  1/2 ,NaN
W,W40X264,W40X264,F,264,77.4,40,40,NaN,NaN,NaN,11.9,11  7/8 ,NaN,NaN,NaN,0.96, 15/16,  1/2 ,1.73,1  3/4 ,NaN,NaN,NaN,2.91,3,1 11/16,NaN,NaN,NaN,NaN,NaN,3.45,NaN,NaN,35.6,NaN,NaN,19400,1130,971,15.8,493,132,82.6,2.52,NaN,NaN,NaN,56.1,181000,NaN,114,589,NaN,NaN,182,555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.12,38.3,112,NaN,124,91.9,104,34,7  1/2 ,NaN
W,W40X235,W40X235,F,235,69.1,39.7,39  3/4 ,NaN,NaN,NaN,11.9,11  7/8 ,NaN,NaN,NaN,0.83, 13/16,  7/16,1.58,1  9/16,NaN,NaN,NaN,2.76,2  7/8 ,1  5/8 ,NaN,NaN,NaN,NaN,NaN,3.77,NaN,NaN,41.2,NaN,NaN,17400,1010,875,15.9,444,118,74.6,2.54,NaN,NaN,NaN,41.3,161000,NaN,113,530,NaN,NaN,166,495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.11,38.1,111,NaN,123,91.3,103,34,7  1/2 ,NaN
W,W40X211,W40X211,F,211,62.1,39.4,39  3/8 ,NaN,NaN,NaN,11.8,11  3/4 ,NaN,NaN,NaN,0.75,  3/4 ,  3/8 ,1.42,1  7/16,NaN,NaN,NaN,2.6,2 11/16,1  9/16,NaN,NaN,NaN,NaN,NaN,4.17,NaN,NaN,45.6,NaN,NaN,15500,906,786,15.8,390,105,66.1,2.51,NaN,NaN,NaN,30.4,141000,NaN,112,468,NaN,NaN,148,442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.07,38,110,NaN,122,90.6,102,34,7  1/2 ,NaN
W,W40X183,W40X183,F,183,53.3,39,39,NaN,NaN,NaN,11.8,11  3/4 ,NaN,NaN,NaN,0.65,  5/8 ,  5/16,1.2,1  3/16,NaN,NaN,NaN,2.38,2  1/2 ,1  9/16,NaN,NaN,NaN,NaN,NaN,4.92,NaN,NaN,52.6,NaN,NaN,13200,774,675,15.7,331,88.3,56,2.49,NaN,NaN,NaN,19.3,118000,NaN,112,395,NaN,NaN,126,376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.04,37.8,110,NaN,122,89.8,102,34,7  1/2 ,NaN
W,W40X167,W40X167,F,167,49.3,38.6,38  5/8 ,NaN,NaN,NaN,11.8,11  3/4 ,NaN,NaN,NaN,0.65,  5/8 ,  5/16,1.03,1,NaN,NaN,NaN,2.21,2  5/16,1  9/16,NaN,NaN,NaN,NaN,NaN,5.76,NaN,NaN,52.6,NaN,NaN,11600,693,600,15.3,283,76,47.9,2.4,NaN,NaN,NaN,14,99700,NaN,111,336,NaN,NaN,107,336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.98,37.6,109,NaN,121,89,101,34,7  1/2 ,NaN
W,W40X149,W40X149,F,149,43.8,38.2,38  1/4 ,NaN,NaN,NaN,11.8,11  3/4 ,NaN,NaN,NaN,0.63,  5/8 ,  5/16,0.83, 13/16,NaN,NaN,NaN,2.01,2  1/8 ,1  1/2 ,NaN,NaN,NaN,NaN,NaN,7.11,NaN,NaN,54.3,NaN,NaN,9800,598,513,15,229,62.2,38.8,2.29,NaN,NaN,NaN,9.36,80000,NaN,110,270,NaN,NaN,86.7,288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.89,37.4,108,NaN,120,88.2,100,34,7  1/2 ,NaN
W,W36X925,W36X925,T,925,272,43.1,43  1/8 ,NaN,NaN,NaN,18.6,18  5/8 ,NaN,NaN,NaN,3.02,3,1  1/2 ,4.53,4  1/2 ,NaN,NaN,NaN,5.28,5  3/8 ,2  5/16,NaN,NaN,NaN,NaN,NaN,2.05,NaN,NaN,10.8,NaN,NaN,73000,4130,3390,16.4,4940,862,531,4.26,NaN,NaN,NaN,1430,1840000,NaN,179,3780,NaN,NaN,681,2060,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3,38.6,134,NaN,153,105,124,32  3/8 ,7  1/2 ,NaN
W,W36X853,W36X853,T,853,251,43.1,43  1/8 ,NaN,NaN,NaN,18.2,18  1/4 ,NaN,NaN,NaN,2.52,2  1/2 ,1  1/4 ,4.53,4  1/2 ,NaN,NaN,NaN,5.28,5  3/8 ,2  1/16,NaN,NaN,NaN,NaN,NaN,2.01,NaN,NaN,12.9,NaN,NaN,70000,3920,3250,16.7,4600,805,505,4.28,NaN,NaN,NaN,1240,1710000,NaN,175,3620,NaN,NaN,685,1950,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.22,38.6,135,NaN,153,104,122,32  3/8 ,7  1/2 ,NaN
W,W36X802,W36X802,T,802,236,42.6,42  5/8 ,NaN,NaN,NaN,18,18,NaN,NaN,NaN,2.38,2  3/8 ,1  3/16,4.29,4  5/16,NaN,NaN,NaN,5.04,5  1/8 ,2,NaN,NaN,NaN,NaN,NaN,2.1,NaN,NaN,13.7,NaN,NaN,64800,3660,3040,16.6,4210,744,468,4.22,NaN,NaN,NaN,1050,1540000,NaN,172,3330,NaN,NaN,642,1820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.15,38.3,133,NaN,151,103,121,32  3/8 ,7  1/2 ,NaN
W,W36X723,W36X723,T,723,213,41.8,41  3/4 ,NaN,NaN,NaN,17.8,17  3/4 ,NaN,NaN,NaN,2.17,2  3/16,1  1/8 ,3.9,3  7/8 ,NaN,NaN,NaN,4.65,4 11/16,1  7/8 ,NaN,NaN,NaN,NaN,NaN,2.28,NaN,NaN,15,NaN,NaN,57300,3270,2740,16.4,3700,658,416,4.17,NaN,NaN,NaN,785,1330000,NaN,169,2930,NaN,NaN,578,1630,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.06,37.9,131,NaN,149,101,119,32  3/8 ,7  1/2 ,NaN
W,W36X652,W36X652,T,652,192,41.1,41,NaN,NaN,NaN,17.6,17  5/8 ,NaN,NaN,NaN,1.97,2,1,3.54,3  9/16,NaN,NaN,NaN,4.49,4 13/16,2  3/16,NaN,NaN,NaN,NaN,NaN,2.48,NaN,NaN,16.3,NaN,NaN,50600,2910,2460,16.2,3230,581,367,4.1,NaN,NaN,NaN,593,1130000,NaN,165,2560,NaN,NaN,518,1450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.96,37.6,129,NaN,147,99.8,117,31  3/8 ,7  1/2 ,NaN
W,W36X529,W36X529,T,529,156,39.8,39  3/4 ,NaN,NaN,NaN,17.2,17  1/4 ,NaN,NaN,NaN,1.61,1  5/8 , 13/16,2.91,2 15/16,NaN,NaN,NaN,3.86,4  3/16,2,NaN,NaN,NaN,NaN,NaN,2.96,NaN,NaN,19.9,NaN,NaN,39600,2330,1990,16,2490,454,289,4,NaN,NaN,NaN,327,846000,NaN,159,1990,NaN,NaN,419,1160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.8,36.9,127,NaN,144,96.8,114,31  3/8 ,7  1/2 ,NaN
W,W36X487,W36X487,T,487,143,39.3,39  3/8 ,NaN,NaN,NaN,17.1,17  1/8 ,NaN,NaN,NaN,1.5,1  1/2 ,  3/4 ,2.68,2 11/16,NaN,NaN,NaN,3.63,4,1  7/8 ,NaN,NaN,NaN,NaN,NaN,3.19,NaN,NaN,21.4,NaN,NaN,36000,2130,1830,15.8,2250,412,263,3.96,NaN,NaN,NaN,258,754000,NaN,157,1800,NaN,NaN,383,1060,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.74,36.6,125,NaN,142,95.7,113,31  3/8 ,7  1/2 ,NaN
W,W36X441,W36X441,T,441,130,38.9,38  7/8 ,NaN,NaN,NaN,17,17,NaN,NaN,NaN,1.36,1  3/8 , 11/16,2.44,2  7/16,NaN,NaN,NaN,3.39,3  3/4 ,1  7/8 ,NaN,NaN,NaN,NaN,NaN,3.48,NaN,NaN,23.6,NaN,NaN,32100,1910,1650,15.7,1990,368,235,3.92,NaN,NaN,NaN,194,661000,NaN,154,1600,NaN,NaN,347,950,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.69,36.5,124,NaN,141,94.8,112,31  3/8 ,7  1/2 ,NaN
W,W36X395,W36X395,T,395,116,38.4,38  3/8 ,NaN,NaN,NaN,16.8,16  7/8 ,NaN,NaN,NaN,1.22,1  1/4 ,  5/8 ,2.2,2  3/16,NaN,NaN,NaN,3.15,3  7/16,1 13/16,NaN,NaN,NaN,NaN,NaN,3.83,NaN,NaN,26.3,NaN,NaN,28500,1710,1490,15.7,1750,325,208,3.88,NaN,NaN,NaN,142,575000,NaN,152,1410,NaN,NaN,311,847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.61,36.2,123,NaN,140,93.6,110,31  3/8 ,7  1/2 ,NaN
W,W36X361,W36X361,T,361,106,38,38,NaN,NaN,NaN,16.7,16  3/4 ,NaN,NaN,NaN,1.12,1  1/8 ,  9/16,2.01,2,NaN,NaN,NaN,2.96,3  5/16,1  3/4 ,NaN,NaN,NaN,NaN,NaN,4.16,NaN,NaN,28.6,NaN,NaN,25700,1550,1350,15.6,1570,293,188,3.85,NaN,NaN,NaN,109,509000,NaN,150,1270,NaN,NaN,282,767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.58,36,122,NaN,139,92.7,109,31  3/8 ,7  1/2 ,NaN
W,W36X330,W36X330,F,330,96.9,37.7,37  5/8 ,NaN,NaN,NaN,16.6,16  5/8 ,NaN,NaN,NaN,1.02,1,  1/2 ,1.85,1  7/8 ,NaN,NaN,NaN,2.8,3  1/8 ,1  3/4 ,NaN,NaN,NaN,NaN,NaN,4.49,NaN,NaN,31.4,NaN,NaN,23300,1410,1240,15.5,1420,265,171,3.83,NaN,NaN,NaN,84.3,456000,NaN,149,1150,NaN,NaN,259,698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.53,35.9,121,NaN,138,92,109,31  3/8 ,7  1/2 ,NaN
W,W36X302,W36X302,F,302,89,37.3,37  3/8 ,NaN,NaN,NaN,16.7,16  5/8 ,NaN,NaN,NaN,0.945, 15/16,  1/2 ,1.68,1 11/16,NaN,NaN,NaN,2.63,3,1 11/16,NaN,NaN,NaN,NaN,NaN,4.96,NaN,NaN,33.9,NaN,NaN,21100,1280,1130,15.4,1300,241,156,3.82,NaN,NaN,NaN,64.3,412000,NaN,148,1040,NaN,NaN,235,635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.53,35.6,121,NaN,138,91.3,108,31  3/8 ,7  1/2 ,NaN
W,W36X282,W36X282,F,282,82.9,37.1,37  1/8 ,NaN,NaN,NaN,16.6,16  5/8 ,NaN,NaN,NaN,0.885,  7/8 ,  7/16,1.57,1  9/16,NaN,NaN,NaN,2.52,2  7/8 ,1  5/8 ,NaN,NaN,NaN,NaN,NaN,5.29,NaN,NaN,36.2,NaN,NaN,19600,1190,1050,15.4,1200,223,144,3.8,NaN,NaN,NaN,52.7,378000,NaN,147,960,NaN,NaN,219,591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5,35.5,120,NaN,137,90.8,107,31  3/8 ,7  1/2 ,NaN
